Statement Analysis
Query,Full Table Scan,Executed (#),Errors (#),Warnings (#),Total Time,Max Time,Avg Time,Rows Sent (#),Avg. Rows Sent (#),Rows Scanned (#),Avg. Rows Scanned (#),Temp. Tables (#),Temp. Disk Tables (#),Rows Sorted (#),Sort Merge Passes (#),Digest
"CREATE TABLE IF NOT EXISTS `BorrowedList` ( `borrow_id` INTEGER AUTO_INCREMENT PRIMARY KEY , `user_id` INTEGER NOT NULL , `book_id` INTEGER NOT NULL , `borrow_date` DATE NOT NULL , `due_date` DATE NOT NULL , `return_date` DATE , `is_returned` BOOLEAN DEFAULT FALSE , FOREIGN KEY ( `user_id` ) REFERENCES SYSTEM_USER ( `userId` ) ON DELETE CASCADE , FOREIGN KEY ( `book_id` ) REFERENCES `Book` ( `id` ) ON DELETE CASCADE )",,1,0,0,56998.00,56998.00,56998.00,0,0.0,0,0.0,0,0,0,0,8e10710455125655251442770fd0b58e02f9679f96f135792e7881fdd368d335
CALL `sys` . `ps_truncate_all_tables` (?),,1,0,0,44227.10,44227.10,44227.10,0,0.0,0,0.0,0,0,0,0,e5dd2bf31d077db78bbf1d69d34ff47364c0d04f7a585a954fffbfab14874e6c
"CREATE INDEX `idx_user_book` ON `BorrowedList` ( `user_id` , `book_id` )",,1,0,0,29122.80,29122.80,29122.80,0,0.0,0,0.0,0,0,0,0,a8fbddc5289ed8ef98549dd600da9b39851d0a84de5c91170a7b135c18e34e8e
"CREATE TABLE IF NOT EXISTS `Book` ( `id` INTEGER AUTO_INCREMENT PRIMARY KEY , `title` VARCHARACTER (?) NOT NULL UNIQUE , TYPES VARCHARACTER (?) , `authors` VARCHARACTER (?) , `abstract` LONGTEXT , `languages` TEXT , `createdDate` DATE , `coverURL` VARCHARACTER (?) , `subjects` VARCHARACTER (?) , `isbns` VARCHARACTER (?) )",,3,0,2,57818.00,48933.80,19272.60,0,0.0,0,0.0,0,0,0,0,7972efd2b1da60d041137b6e98bdff9a4fc11e7f6997ab20835701818bdd5248
"CREATE TABLE IF NOT EXISTS `Review` ( `reviewId` INTEGER AUTO_INCREMENT PRIMARY KEY , `userId` INTEGER NOT NULL , `bookId` INTEGER NOT NULL , `content` VARCHARACTER (?) , `ratings` DECIMAL (...) , FOREIGN KEY ( `userId` ) REFERENCES SYSTEM_USER ( `userId` ) ON DELETE CASCADE , FOREIGN KEY ( `bookId` ) REFERENCES `Book` ( `id` ) ON DELETE CASCADE )",,3,0,2,56194.80,51412.50,18731.60,0,0.0,0,0.0,0,0,0,0,eea8d573a9bd4bd54ab2aab8786c69e5f4002d4c197e3f168c157643fd4b1477
"CREATE TABLE IF NOT EXISTS SYSTEM_USER ( `userId` INTEGER AUTO_INCREMENT PRIMARY KEY , `first_name` VARCHARACTER (?) , `last_name` VARCHARACTER (?) NOT NULL , `email` VARCHARACTER (?) NOT NULL UNIQUE , PASSWORD VARCHARACTER (?) NOT NULL , `fees_due` DECIMAL (...) DEFAULT ? , `user_type` CHARACTER (?) )",,3,0,2,42747.00,38750.30,14249.00,0,0.0,0,0.0,0,0,0,0,d4b67de50a4f4100eb0adc790cf11060839889dab3a0b0bd5d06be89dfd369b2
CREATE INDEX `idx_userId` ON `Review` ( `userId` ),,3,2,0,31275.40,30252.90,10425.10,0,0.0,0,0.0,0,0,0,0,412d20a40663d69b7a6745abffb1c1e503ff2b6f81b2f50a362f78a47d7ed4cd
CREATE INDEX `idx_bookId` ON `Review` ( `bookId` ),,3,2,0,27295.70,26160.00,9098.50,0,0.0,0,0.0,0,0,0,0,6e15cd16d5c1ccdbf761e75d96c941a26496b74bfe9a908dbc79c32b185f57e8
COMMIT,,21,0,0,52858.00,10129.00,2517.00,0,0.0,0,0.0,0,0,0,0,f2b9be5f0f32ca7507e4ddf133cd2fad0993a1c26fde9caa6f067b1af2b7603c
SHOW VARIABLES,*,2,0,0,3455.00,2085.80,1727.50,1314,657.0,1314,657.0,2,0,0,0,9959c56ef11ca3c143a80d199705b5128cb5dfbbdc967225c4bd603595738aab
SHOW COLLATION,*,1,0,0,1688.10,1688.10,1688.10,286,286.0,613,613.0,1,0,286,0,f547ffac4814e362ef0421e4a45a6137d4be89fbb5ba419e1813d13647bcb53a
SHOW FULL TABLES FROM `sys` WHERE `Table_type` = ?,,1,0,0,1520.10,1520.10,1520.10,100,100.0,203,203.0,0,0,100,0,ac1d8a79e2dc1200a392dbd561459fc33904552ced93aaa795f0dca54d4f8c2a
SHOW PROCEDURE STATUS WHERE `Db` = ?,,1,0,0,1457.00,1457.00,1457.00,0,0.0,2,2.0,0,0,0,0,cbc301da493d6b465340bd346910730ee04459290e7cb9d392d71de4e8fea677
"SELECT `id` , `title` , TYPES , `authors` , `abstract` , `languages` , `createdDate` , `coverURL` , `subjects` , `isbns` FROM `Book`",*,3,0,0,3384.00,1396.70,1128.00,299,100.0,299,100.0,0,0,0,0,7dc204919ad23a5e3e3de387e209efe9b732da9b510591949695aa3fd484175d
SHOW SESSION VARIABLES LIKE ?,*,9,0,0,9004.60,2111.40,1000.50,9,1.0,9,1.0,9,0,0,0,6935f3922a42d8845977364d3d83d2ad4e11a53295dfeca9d0d08403bff33250
SHOW FULL FIELDS FROM `library` . `borrowedlist`,,1,0,0,919.80,919.80,919.80,7,7.0,33,33.0,1,0,7,0,055833197796169c8c1bfbbea9e0ccb687a12be267a3a7ad0feb774ba680c2fe
SHOW GLOBAL STATUS,*,1,0,0,819.50,819.50,819.50,494,494.0,494,494.0,1,0,0,0,070e38632eb4444e50cdcbf0b17474ba801e203add89783a24584951442a2317
SHOW FULL TABLES FROM `library`,,1,0,0,817.70,817.70,817.70,4,4.0,14,14.0,0,0,4,0,b8fcf44afada637aaab8f569025dc8ae351bec243efc0e7cd3085ee4401517fa
SHOW FULL FIELDS FROM `library` . `book`,,1,0,0,756.90,756.90,756.90,10,10.0,45,45.0,1,0,10,0,e451ab99bcceef2ed1121f2a0a667f3440a9f3717cc62db97c60b2368392d599
SHOW FULL FIELDS FROM `library` . `user`,,1,0,0,641.90,641.90,641.90,7,7.0,33,33.0,1,0,7,0,dc7fd0796e4948f38cc699d4fba473835b8265ce84d2156f27a32c5813162cf4
SHOW FULL FIELDS FROM `library` . `review`,,1,0,0,621.70,621.70,621.70,5,5.0,25,25.0,1,0,5,0,b5ab64a140494a82d19294c78f2cbae2069a50888a94d3514eb7ab5df5d2501f
SHOW SESSION STATUS LIKE ?,*,2,0,0,1225.20,684.90,612.60,2,1.0,2,1.0,2,0,0,0,a6d9f012d38e1935c116c75354d30af403211c7d7a130d43e103838581b78717
SHOW PLUGINS,*,1,0,0,561.80,561.80,561.80,48,48.0,48,48.0,1,1,0,0,8181054918915fc138d84fa7a6901fadcd699767bc70fb4090001619a68dd04b
SHOW FUNCTION STATUS WHERE `Db` = ?,,1,0,0,536.90,536.90,536.90,0,0.0,2,2.0,0,0,0,0,1023723dae12e40234921687402e70f60d7a8b233a3da73a4e46b38e0feb23a9
SHOW SCHEMAS,*,2,0,0,1068.40,560.00,534.20,10,5.0,42,21.0,0,0,10,0,dbea8921b559b8cdd4976d57d70304daa8a242fbbfe6df94427006b54ead6b0f
SHOW CHARSET,*,1,0,0,523.30,523.30,523.30,41,41.0,123,123.0,0,0,41,0,1856574834be14252580820873d7125ede9315d91bf93a4a4525fac56ee51b6f
SELECT COUNT ( * ) FROM SYSTEM_USER WHERE `user_type` = ?,*,2,0,0,1029.10,866.30,514.50,2,1.0,1,1.0,0,0,0,0,e8764107bf5300595fa2c95387768f381c3c5ba8ec5c75b68aa34af7c07a86ae
"SELECT `b` . `title` , `bl` . `borrow_date` , `bl` . `due_date` , `bl` . `return_date` , `bl` . `is_returned` FROM `BorrowedList` `bl` JOIN `Book` `b` ON `bl` . `book_id` = `b` . `id` WHERE `bl` . `user_id` = ?",,1,0,0,481.90,481.90,481.90,1,1.0,2,2.0,0,0,0,0,68f5e93a4e00d7f3c059f3f078e967aaac374c52cdb00ef19994be2e0c08a4ff
"UPDATE `Book` SET `title` = ? , TYPES = ? , `authors` = ? , `abstract` = ? , `languages` = ? , `createdDate` = ? , `coverURL` = ? , `subjects` = ? , `isbns` = ? WHERE `id` = ?",,1,0,0,451.40,451.40,451.40,0,0.0,1,1.0,0,0,0,0,393dd17e4800272af7e3a00c80c99e414bfd55c5f94be20306eecb9c1173546e
"INSERT INTO `Book` ( `title` , TYPES , `authors` , `abstract` , `languages` , `createdDate` , `coverURL` , `subjects` , `isbns` ) VALUES (...)",,100,0,0,41930.90,5818.80,419.30,0,0.0,0,0.0,0,0,0,0,f6a7fbe1d54315944d3ba5b1750acb7173d956dcaa70f968058c2c4df19e9589
DELETE FROM `Book` WHERE `id` = ?,,1,0,0,418.80,418.80,418.80,0,0.0,1,1.0,0,0,0,0,69da4be4e436ad2e75801e62e8bcf05220f0ad76c699a9c3e71a27933973645f
"SELECT `id` , `title` , `authors` , TYPES , `abstract` , `languages` , `createdDate` , `coverURL` , `subjects` , `isbns` FROM `Book` WHERE `id` = ?",,2,0,0,795.00,457.50,397.50,2,1.0,2,1.0,0,0,0,0,8b9826f3f51f92557408bced060ce96cde99a2fcfcc841aa7ebcb2d4fae7110b
SELECT * FROM `book` WHERE `id` = ?,,3,0,0,1177.00,589.10,392.30,3,1.0,3,1.0,0,0,0,0,73c2e148bf2532d2952aea4e747e1be9fa2bc6bd8bfaf3ac8657f26286404833
SHOW CHARACTER SET WHERE CHARSET = ?,,4,0,0,1551.90,534.60,387.90,4,1.0,4,1.0,0,0,0,0,403e20a54ba36e995c8a9423fc5504db82d64dfefb3c9f6e0b4d3d66372ede9f
SELECT COUNT ( * ) FROM `Book`,,3,0,0,1045.50,682.10,348.50,3,1.0,0,0.0,0,0,0,0,847cc43792f2c71eccb866b37db4ce4d7889c8412afd30f9f82e0c59448192ef
"UPDATE `BorrowedList` SET `return_date` = ? , `is_returned` = TRUE WHERE `book_id` = ? AND `user_id` = ? AND `is_returned` = FALSE",,1,0,0,343.60,343.60,343.60,0,0.0,1,1.0,0,0,0,0,bee293b1f137d1289876c5f2dca2dc5be863578017bf56a6d749274dec8e9a7d
"INSERT INTO SYSTEM_USER ( `first_name` , `last_name` , `email` , PASSWORD , `user_type` ) VALUES (...)",,1,0,0,333.80,333.80,333.80,0,0.0,0,0.0,0,0,0,0,bf0c42e5312d7bc513377b5731f8bb146d9cdcaaa832b4590f8f657be0917a5a
"SELECT `Review` . `ratings` , `Review` . `content` , `User` . `first_name` , `User` . `last_name` FROM `Review` JOIN SYSTEM_USER ON `Review` . `userId` = `User` . `userId` WHERE `Review` . `bookId` = ?",,3,0,0,998.90,614.30,332.90,1,0.0,2,1.0,0,0,0,0,8a2b8363c4861a226b96e5cd096a6a1e48572e97def2d70ef93abf8b24cee5bc
"SELECT `userId` , `email` , PASSWORD , `user_type` FROM SYSTEM_USER WHERE `email` = ?",,2,0,0,656.90,369.50,328.40,2,1.0,2,1.0,0,0,0,0,2436ef7ae6604de4024841ed259441a2c5a82a4fd5d5cebe2377ecd61a2a4df6
SELECT * FROM `Book` WHERE `id` = ?,,2,0,0,622.10,337.30,311.00,2,1.0,2,1.0,0,0,0,0,d25e7f875d012e7302033463081abbef7d17f76aa3464b06d7701a5337a707cd
SELECT * FROM `BorrowedList` WHERE `book_id` = ? AND `user_id` = ? AND `is_returned` = FALSE,,3,0,0,774.60,333.50,258.20,2,1.0,2,1.0,0,0,0,0,d864857fcf1b312a190ce935df787b6f4e5ac229c015aa556e858d4ce1a82405
"INSERT INTO `Review` ( `userId` , `bookId` , `content` , `ratings` ) VALUES (...)",,1,0,0,244.60,244.60,244.60,0,0.0,0,0.0,0,0,0,0,19141f253f2796e1bdd1f5b87678c831109c7ec1b2f7c0aa494c0f94081a99a8
"INSERT INTO `BorrowedList` ( `user_id` , `book_id` , `borrow_date` , `due_date` ) VALUES (...)",,1,0,0,240.40,240.40,240.40,0,0.0,0,0.0,0,0,0,0,9d6cf41d83d06a9cc88b6645385ac4e7008d9a3ceda36ad17ee4e9e712aba05b
SHOW ENGINES,*,1,0,0,237.80,237.80,237.80,11,11.0,11,11.0,1,0,0,0,694ce669f6158c6e62190a80036873cd7a95b81566f32b7f979f9624b10f564a
SELECT `userId` FROM SYSTEM_USER WHERE `email` = ?,,1,0,0,232.90,232.90,232.90,1,1.0,1,1.0,0,0,0,0,3dd01192b3f3ff3dd588f41037851cbeac54143ede828f3715ba06b6563de115
"INSERT INTO SYSTEM_USER ( `first_name` , `last_name` , `email` , PASSWORD , `fees_due` , `user_type` ) VALUES (...)",,1,0,0,190.00,190.00,190.00,0,0.0,0,0.0,0,0,0,0,d1c4f84e0921ad7e5677aecbdb5ddaa621c43f47e65c8ad6725847ea4b4fe10a
SELECT `sys_version` FROM `sys` . `version`,,2,0,0,349.90,201.00,174.90,2,1.0,4,2.0,2,0,0,0,d5483ab0e1343735b239e0f1cc57afef113d12d8617735410de021863b37725d
SELECT * FROM `BorrowedList` WHERE `book_id` = ? AND `is_returned` = FALSE,,4,0,0,699.70,309.80,174.90,2,1.0,2,1.0,0,0,0,0,28404d1fadeb84cab9e13bfdb9d15d98e897c251059cd6dbebf5c167deb520b2
SET NAMES `utf8`,,2,0,2,255.30,166.90,127.60,0,0.0,0,0.0,0,0,0,0,13fcb9bac24560527e210ae59823ea393edcac9d7989014c15a54d4e64b2e3ea
SET NAMES ? COLLATE ?,,20,0,0,2541.50,205.30,127.00,0,0.0,0,0.0,0,0,0,0,52eaff6a7819ec096aa8c71501acd23ef138f2a775fc2827cc34ed7d77fa3e3d
SELECT @@`performance_schema`,,2,0,0,215.20,115.70,107.60,2,1.0,2,1.0,0,0,0,0,48d06d86b583ece1b6a7ac4a0e7f258d15266bea0382ff8de286e65fbf284384
SET `autocommit` = ?,,6,0,0,634.00,164.00,105.60,0,0.0,0,0.0,0,0,0,0,158bfe3d4b4b0a372a4acdb38affe2cb4f6b3cb21a9af0ea9fad9a9a083ac18a
SHOW GRANTS,,2,0,0,187.50,95.40,93.70,0,0.0,0,0.0,0,0,0,0,357c2f9945785534854aa7e387a6a8c95121e3b10a0e9ab1784bc0c45a34d47d
SELECT `CONNECTION_ID` ( ),,2,0,0,167.40,96.20,83.70,2,1.0,2,1.0,0,0,0,0,e17c82a4f8c6d7083a2c7e3f35c96912c5410b431f6129935b61a9f686adaeab
SET CHARACTER SET `utf8`,,2,0,0,158.10,97.20,79.00,0,0.0,0,0.0,0,0,0,0,7fefc009e426d24935eca18b34c6829c935bc1d0697fe927f91fdfac6fde18b4
SET NAMES ?,,4,0,0,266.20,126.20,66.50,0,0.0,0,0.0,0,0,0,0,f602ce2b604742e053aebf598ab8704c3b804def2946274dff866e2679d8f9fa
SELECT CURRENT_USER ( ),,5,0,0,312.00,74.40,62.40,5,1.0,5,1.0,0,0,0,0,3eff569d77bf7e2ccb14bd593a390e6187f054f1435d6bed2f3b547f827e8992
SET `autocommit` = ?,,20,0,0,1101.10,214.30,55.00,0,0.0,0,0.0,0,0,0,0,158bfe3d4b4b0a372a4acdb38affe2cb4f6b3cb21a9af0ea9fad9a9a083ac18a
SET `SQL_SAFE_UPDATES` = ?,,1,0,0,45.70,45.70,45.70,0,0.0,0,0.0,0,0,0,0,05a9d2cc7f87b977af87566844ff7bee31fc9602525cd898eb23cb8a005097cd
